time,theta,theta_dot,tau
0.0,0.004,0.4,2
0.01,0.011584,0.7584,2
0.02,0.022363264,1.0779264,2
0.03,0.035975148543999996,1.3611884544,2
0.04,0.052081944039424,1.6106795495424,2
0.05,0.0703697322091479,1.8287788169723904,2
0.06,0.09054726263306281,2.017753042391492,2
0.07,0.112344850964054,2.1797588330991178,2
0.08,0.13379516842877745,2.145031746472345,1.1409336853438035
0.09,0.15398063362869963,2.0185465199922175,0.7076800776930892
0.1,0.17306991815558123,1.9089284526881598,0.7691441907332202
0.11,0.1911124925564153,1.8042574400834055,0.7772489996314711
0.12,0.20816679070968952,1.705429815327423,0.7902155813746212
0.13,0.22428680804776818,1.6120017338078656,0.801908081485303
0.14,0.23952371499611982,1.523690694835164,0.8130192881359619
0.15,0.25392586619575047,1.4402151199630648,0.8235149030493254
0.16,0.26753897012023764,1.3613103924487182,0.8334356548013
0.17,0.280406232327048,1.2867262206810341,0.8428122776264138
0.18,0.29256849267792473,1.2162260350876744,0.8516746470278145
0.19,0.3040643548534031,1.1495862175478395,0.860050915200512
0.2,0.3149303087962201,1.086595394281696,0.8679677021500076
0.21,0.32520084644820363,1.0270537651983538,0.8754501693165775
0.22,0.3349085711502539,0.97077247020503,0.8825221005289654
0.23,0.3440843010521363,0.9175729901882383,0.8892059773190644
0.24,0.35275716686010455,0.8672865807968273,0.8955230502413363
0.25,0.36095470423238224,0.8197537372277673,0.9014934062733229
0.26,0.36870294111555674,0.7748236883174475,0.907136032527049
0.27,0.37602648029889524,0.7323539183338507,0.9124688764718529
0.28,0.3829485774484239,0.6922097149528689,0.9175089028598067
0.29,0.3894912148682741,0.654263741985015,0.922272147534013
0.3,0.395675171223248,0.6183956354973911,0.926773768290936
0.31,0.40152008744374657,0.5844916220498556,0.9310280929575141
0.32,0.40704452902209204,0.5524441578345469,0.9350486648358776
0.33,0.41226604489783425,0.5221515875742231,0.9388482856598381
0.34,0.41720122311880975,0.493517822097551,0.9424390561994196
0.35000000000000003,0.42186574345449573,0.46645203356859793,0.9458324146416297
0.36,0.42627442712853586,0.4408683674040114,0.949039172870358
0.37,0.43044128382817626,0.41668566996404194,0.95206955075923
0.38,0.4343795561397141,0.39382723115378,0.9549332085870637
0.39,0.43810176155089575,0.3722205411181662,0.9576392776782494
0.4,0.4416197321534872,0.351797060259147,0.9601963893657783
0.41000000000000003,0.4449446521719412,0.33249200184539657,0.9626127023677957
0.42,0.44808709343719344,0.3142441265252258,0.9648959286657268
0.43,0.4510570489181023,0.2969955480908847,0.967053357965294
0.44,0.4538639644168837,0.2806915498781415,0.9690918808179307
0.45,0.45651676852907247,0.2652804112188749,0.9710180104765054
0.46,0.4590239009630346,0.25071324339621126,0.9728379035542642
0.47000000000000003,0.4613933393088532,0.23694383458186133,0.9745573795524252
0.48,0.463632624341492,0.22392850326388167,0.9761819393187388
0.49,0.4657488839384916,0.21162595969995993,0.9777167824953161
0.5,0.46774885568805946,0.1999971749567819,0.9791668240110731
0.51,0.4696389082592605,0.18900525712010477,0.9805367096711242
0.52,0.4714250616020895,0.17861533428290124,0.9818308308925559
0.53,0.4731130060414943,0.1687944439404769,0.9830533386335081
0.54,0.47470812032591125,0.15951142844169575,0.9842081565593213
0.55,0.47621548868755914,0.15073683616479047,0.985298993488144
0.56,0.477639916968601,0.14244282810418366,0.9863293551544794
0.5700000000000001,0.478985947864323,0.13460308957220307,0.9873025553293908
0.58,0.48025787533167796,0.12719274673549136,0.988221726331189
0.59,0.48145975820889253,0.12018828772145682,0.9890898289609289
0.6,0.48259543308933767,0.11356748804451189,0.9899096618937888
0.61,0.48366852649049336,0.10730934011556874,0.9906838705562155
0.62,0.48468246635660595,0.1013939866112584,0.9914149555172194
0.63,0.4856404929315203,0.09580265749143635,0.9921052804197308
0.64,0.4865456690361737,0.09051761046533942,0.9927570794782741
0.65,0.4874008897833481,0.08552207471744036,0.9933724645655218
0.66,0.4882088917604946,0.08080019771464607,0.9939534319114449
0.67,0.4889722617097544,0.0763369949259784,0.9945018684349738
0.68,0.48969344473270826,0.0721183022953879,0.9950195577295455
0.6900000000000001,0.49037475204587716,0.06813073131688954,0.9955081857206187
0.7000000000000001,0.4910183683115726,0.06436162656954013,0.995969346013452
0.71,0.4916263585673485,0.06079902557759104,0.9964045449481698
0.72,0.49220067477603324,0.05743162086847616,0.9968152063779181
0.73,0.4927431620171161,0.05424872410828446,0.9972026761853461
0.74,0.4932555643391264,0.05124023220102926,0.9975682265520984
0.75,0.4937395302915675,0.0483965952441095,0.9979130599941686
0.76,0.49419661815395094,0.04570878623834466,0.9982383131763655
0.77,0.4946283008785168,0.043168272456586686,0.9985450605182844
0.78,0.49503597076231654,0.040766988379975264,0.9988343176022698
0.79,0.49542094386347724,0.03849731011606877,0.9991070443950882
0.8,0.49578446417565486,0.03635203121776022,0.9993641482934461
0.81,0.4961277075739163,0.034324339826140506,0.9996064870020913
0.8200000000000001,0.4964517855445658,0.03240779706495195,0.9998348712549601
0.8300000000000001,0.496757748710746,0.0305963166180217,1.0000500673869563
0.84,0.4970465901649955,0.028884145424950068,1.0002527997651447
0.85,0.49731924861933313,0.02726584543375784,1.000443753086505
0.86,0.4975766113828604,0.025736276352728182,1.0006235745503969
0.87,0.49781951717632644,0.024290579346602115,1.0007928759114546
0.88,0.4980487587925815,0.022924161625504445,1.0009522354204656
0.89,0.4982650856113588,0.021632681877731874,1.0011021996590523
0.9,0.49846920597635985,0.020412036500107134,1.0012432852734598
0.91,0.4986617894421832,0.01925834658233626,1.0013759806139189
0.92,0.49884346889822323,0.01816794560400047,1.0015007472838555
0.93,0.4990148425762753,0.017137367805209504,1.0016180216044919
0.9400000000000001,0.4991764759482156,0.01616333719403277,1.0017282159992718
0.9500000000000001,0.4993289035197733,0.015242757155769695,1.0018317203021323
0.96,0.4994726305260856,0.014372700631228787,1.001928902994727
0.97,0.4996081345344132,0.013550400832765121,1.0020201123754673
0.98,0.4997358669590995,0.012773242468626935,1.002105677664518
0.99,0.4998562544935781,0.012038753447863128,1.0021859100486934
1.0,0.49996970046397216,0.011344597039405924,1.0022611036688018
1.01,0.5000765861085766,0.010688564460452644,1.0023315365528809
1.02,0.5001772717872838,0.010068567870709545,1.002397471498664
1.03,0.5002720981247858,0.009482633750204096,1.002459156907395
1.04,0.5003613870911833,0.008928896639752194,1.0025168275724141
1.05,0.5004454430234236,0.008405593224031506,1.0025707054236392
1.06,0.5005245535908115,0.007911056738787593,1.0026210002326434
1.07,0.5005989907076537,0.0074437116842211454,1.0026679102781846
1.08,0.500669011395931,0.007002068827734966,1.002711622974987
1.09,0.5007348586007359,0.006584720480489627,1.0027523154695028
1.1,0.5007967619610604,0.0061903360324511505,1.0027901552015241
1.11,0.5008549385383799,0.005817657731950877,1.002825300435845
1.12,0.5009095935053438,0.005465496696385487,1.0028579007649083
1.1300000000000001,0.5009609207967565,0.005132729141267047,1.0028880975832881
1.1400000000000001,0.5010091037249146,0.004818292815806604,1.0029160245368443
1.1500000000000001,0.5010543155612509,0.004521183633636818,1.0029418079468835
1.16,0.5010967200861317,0.004240452488085546,1.0029655672115638
1.17,0.5011364721085485,0.00397520224168181,1.0029874151842875
1.18,0.5011737179573553,0.0037245848806806946,1.0030074585329323
1.19,0.501208595945608,0.0034877988252662107,1.0030257980779786
1.2,0.5012412368094787,0.003264086387082834,1.0030425291129321
1.21,0.5012717641231381,0.0030527313659406106,1.0030577417067879
1.22,0.5013002946909199,0.002853056778170062,1.0030715209903938
1.23,0.501326938918013,0.002664422709319183,1.0030839474266704
1.24,0.5013518011608575,0.002486224284450591,1.0030950970663428
1.25,0.5013749800583527,0.002317889749518667,1.0031050417892808
1.26,0.5013965688449314,0.0021588786578774855,1.0031138495332588
1.27,0.5014166556464918,0.002008680156035938,1.003121584509594
1.28,0.5014353237601248,0.0018668113632981068,1.0031283074073125
1.29,0.5014526519185261,0.001732815840127602,1.003134075586046
1.3,0.501468714539929,0.0016062621403014979,1.0031389432579854
1.31,0.5014835819643542,0.0014867424425111155,1.003142961661057
1.32,0.5014973206769209,0.0013738712566751324,1.0031461792207839
1.33,0.5015099935189339,0.001267284201299548,1.0031486417053015
1.34,0.5015216598874096,0.0011666368475703151,1.0031503923698715
1.35,0.501532375923679,0.0010716036269502818,1.0031514720955041
1.36,0.5015421946916633,0.0009818767984203804,1.0031519195181837
1.37,0.5015511663463866,0.0008971654723338409,1.003151771152104
1.3800000000000001,0.5015593382932645,0.0008171946877859073,1.0031510615062005
1.3900000000000001,0.5015667553386681,0.0007417045403592139,1.0031498231932885
1.4000000000000001,0.5015734598322455,0.0006704493577406457,1.003148087034423
1.41,0.5015794918014502,0.0006031969204644129,1.0031458821569803
1.42,0.5015848890787027,0.0005397277252515843,1.0031432360870685
1.43,0.5015896874215906,0.00047983428879193833,1.0031401748377329
1.44,0.5015939206264858,0.0004233204895186661,1.0031367229912107
1.45,0.5015976206359416,0.0003700009455874921,1.003132903778075
1.46,0.5016008176402091,0.00031970042674895016,1.0031287391504842
1.47,0.5016035401731942,0.00027225329850576695,1.0031242498525768
1.48,0.5016058152031618,0.00022750299676722828,1.0031194554869485
1.49,0.5016076682184727,0.00018530153108845768,1.0031143745763134
