time,theta,theta_dot,tau
0.0,0.1,10.0,10
0.01,0.0795,-2.0500000000000007,-10
0.02,0.1627025,8.32025,10
0.03,0.1284509875,-3.4251512500000008,-10
0.04,0.2004075225625,7.195653506249998,10
0.05,0.15697071299968746,-4.343680956281252,-10
0.06,0.221436411784439,6.446569878475154,10
0.07,0.17190178875331807,-4.953462303112094,-10
0.08,0.23141458138465476,5.951279263133667,10
0.09,0.1778677425828008,-5.354683880185394,-10
0.1,0.23414093282840368,5.627319024560286,10
0.11,0.17798878036074395,-5.615215246765972,-10
0.12,0.23217711448481246,5.418833412406851,10
0.13,0.1743668962116432,-5.781021827316925,-10
0.14,0.22724688711204954,5.2879990900406355,10
0.15,0.1684146453968144,-5.883224171523516,-10
0.16,0.2205067787976422,5.20921334008278,10
0.17,0.16107795162431623,-5.942882717332596,-10
0.18,0.2127295001275339,5.165154850321764,10
0.19,0.15298709142947034,-5.974240869806355,-10
0.2,0.20442822901387214,5.144113758440181,10
0.21,0.1445589979363242,-5.986923107754793,-10
0.22,0.19594081808460423,5.138182014828002,10
0.23,0.13606657011280524,-5.9874247971799,-10
0.24,0.187486838884802,5.142026877199678,10
0.25,0.1276856197079754,-5.980121917682659,-10
0.26,0.17920621626797426,5.152059655999885,10
0.27,0.11952666243463347,-5.967955383334079,-10
0.28,0.17118538605578765,5.165872362115419,10
0.29,0.11165643802243205,-5.952894803335559,-10
0.3,0.16347499740563542,5.1818559383203375,10
0.31,0.10411246992516993,-5.936252748046549,-10
0.32,0.15610188559117166,5.198941566600174,10
0.33,0.0969129086960172,-5.918897689515447,-10
0.34,0.14907716263641352,5.216425394039634,10
0.35000000000000003,0.09006317997554852,-5.901398266086499,-10
0.36,0.14240167794697878,5.2338497971430264,10
0.37,0.0835604679343881,-5.884121001259068,-10
0.38,0.1360696975846436,5.250922965025552,10
0.39,0.0773967328169248,-5.86729647677188,-10
0.4,0.13007137733866514,5.267464452174034,10
0.41000000000000003,0.07156073606936408,-5.8510641269301065,-10
0.42,0.1243944193735764,5.283368330421231,10
0.43,0.06603939392007838,-5.835502545349803,-10
0.44,0.11902517658767957,5.298578266760119,10
0.45,0.0608186768388221,-5.820649974885747,-10
0.46,0.11394938365554202,5.313070681671993,10
0.47000000000000003,0.055884202190640275,-5.806518146490175,-10
0.48,0.10915263600776565,5.326843381712537,10
0.49,0.051221619881427115,-5.793101612633853,-10
0.5,0.10462069888094916,5.339907899952204,10
0.51,0.04681685858616203,-5.7803840294787125,-10
0.52,0.10033970205740152,5.352284347123948,10
0.53,0.042656278324106095,-5.768342373329542,-10
0.54,0.09629625794584923,5.363997962174313,10
0.55,0.038726760353514494,-5.756949759233473,-10
