time,theta,theta_dot,tau
0.0,0.05,5.0,5
0.01,0.03975,-1.0250000000000004,-5
0.02,0.08135125,4.160125,5
0.03,0.06422549375,-1.7125756250000004,-5
0.04,0.10020376128125,3.597826753124999,5
0.05,0.07848535649984373,-2.171840478140626,-5
0.06,0.1107182058922195,3.223284939237577,5
0.07,0.09504645157969113,-1.5671754312528376,-4.09044427969679
0.08,0.13203381587177,3.6987364292078855,5
0.09,0.11096353822607422,-2.107027764569577,-5
0.1,0.14355249841838724,3.258896019231302,5
0.11,0.11890590408014573,-2.464659433824151,-5
0.12,0.1485940990891518,2.968819500900606,5
0.13,0.1343086494544466,-1.4285449634705198,-3.7293035146464284
0.14,0.1722087464994102,3.790009704496361,5
0.15,0.15166778040288403,-2.054096609652616,-5
0.16,0.1844766686236487,3.2808888220764656,5
0.17,0.15980139585714218,-2.467527276650652,-5
0.18,0.18926217066465126,2.9460774807509074,5
0.19,0.16553639863420377,-2.3725772030447487,-4.6348081023131495
0.2,0.19572809901667476,3.0191700382470987,5
0.21,0.1689028188275682,-2.6825280189106584,-5
0.22,0.1965980805821451,2.769526175457689,5
0.23,0.17932324545211642,-1.7274835130028672,-3.844805413077946
0.24,0.2146067611208329,3.528351566871648,5
0.25,0.19176053985020192,-2.2846221270630975,-5
0.26,0.22252476013444614,3.076422028424421,5
0.27,0.1960235125611693,-2.650124757327686,-5
0.28,0.22384239693974195,2.7818884378572672,5
0.29,0.19951074908380567,-2.4331647855936263,-4.546754337409569
0.3,0.22904787705363763,2.953712796983196,5
0.31,0.201532340044235,-2.7515537009402617,-5
0.32,0.22851224873649173,2.6979908692256735,5
0.33,0.2074213907501557,-2.1090857986336022,-4.153222369645896
0.34,0.2395115974073361,3.2090206657180405,5
0.35000000000000003,0.21398620474604374,-2.5525392661292363,-5
0.36,0.24249595959327963,2.8509754847235884,5
0.37,0.21409128367310193,-2.8404675920177693,-5
0.38,0.24029708651859427,2.6205802845492334,5
0.39,0.22050529404243865,-1.9791792476155612,-3.9554949319956503
0.4,0.25356933359130196,3.3064039548863313,5
0.41000000000000003,0.2287527185624361,-2.4816615028865856,-5
0.42,0.25775566294653124,2.9002944384095137,5
0.43,0.2296692401390747,-2.808642280745654,-5
0.44,0.2560517556924141,2.63825155533394,5
0.45,0.23226629174031152,-2.37854639521026,-4.361121761631205
0.46,0.26207658911992787,2.981029737961636,5
0.47000000000000003,0.23461444407802132,-2.7462145041906556,-5
0.48,0.261471655824106,2.6857211746084646,5
0.49,0.23504896934154515,-2.6422686482560813,-4.6601097600307995
0.5,0.26273557530878877,2.768660596724363,5
0.51,0.23357118220603973,-2.916439310274904,-5
0.52,0.2590718118128103,2.5500629606770575,5
0.53,0.24008829520014452,-1.8983516612665792,-3.8088661239018204
0.54,0.27370104043401117,3.3612745233866628,5
0.55,0.24922273141893442,-2.4478309015076762,-5
0.56,0.2783939705497783,2.9171239130843922,5
0.5700000000000001,0.25033899200170456,-2.805497854807376,-5
0.58,0.276643314203237,2.6304322201532466,5
0.59,0.2503565921196834,-2.6286722083553613,-4.59469632737634
0.6,0.2780754314922421,2.77188393725587,5
0.61,0.24886012583282788,-2.921530565941425,-5
0.62,0.27424358067613236,2.5383454843304465,5
0.63,0.25350488449278236,-2.0738696183350003,-3.967424215461291
0.64,0.2856464031236384,3.2141518630856085,5
0.65,0.2599313860127051,-2.571501711093333,-5
0.66,0.2880597153938949,2.81283293811898,5
0.67,0.2591220803218773,-2.893763507201764,-5
0.68,0.28467636186265377,2.5554281540776493,5
0.6900000000000001,0.2614072544568246,-2.326910740582914,-4.228915082913707
0.7000000000000001,0.29148493225987715,3.0077677803052563,5
0.71,0.2640896498410198,-2.7395282418857336,-5
0.72,0.2908529756567288,2.676332581570903,5
0.73,0.2615141802767758,-2.933879537995301,-4.929519115423659
0.74,0.2867355730714295,2.522139279465371,5
0.75,0.26558045441507694,-2.1155118656352583,-3.9898555026718405
0.76,0.2973284572179195,3.1748002802842556,5
0.77,0.27124021717410396,-2.608824004381555,-5
0.78,0.299013424053181,2.7773206879077046,5
0.79,0.26973692243617675,-2.9276501617004254,-5
0.8,0.29496703653039247,2.5230114094215708,5
0.81,0.27256682554906875,-2.2400210981323703,-4.11094670740443
0.8200000000000001,0.30328382263626447,3.07169970871957,5
0.8300000000000001,0.2763410011928397,-2.694282144342477,-5
0.84,0.3034050390321357,2.7064037839295985,5
0.85,0.27353924410841185,-2.986579492372389,-5
0.86,0.29827891194889067,2.4739667840478834,5
0.87,0.2782010383861524,-2.0077873562738286,-3.8378213275376893
0.88,0.310747734344031,3.2546695957878606,5
0.89,0.28523135243861375,-2.551638190541728,-5
0.9,0.31339209015208686,2.8160737713473116,5
0.91,0.2843537198721049,-2.903837027998194,-5
0.92,0.3097012550487588,2.5347535176653917,5
0.93,0.28480489683838367,-2.4896358210375125,-4.362588007645446
0.9400000000000001,0.3134637857858916,2.865888894750798,5
0.9500000000000001,0.28482357801496855,-2.864020777092308,-5
0.96,0.3104872939081552,2.5663715893186696,5
0.97,0.28482965528167914,-2.5657638626476063,-4.463617487148465
0.98,0.3128793961040899,2.804974082241075,5
0.99,0.28375479178149804,-2.912460432259185,-5
1.0,0.30903633436451705,2.528154258301904,5
1.01,0.28623586612402296,-2.280046824049407,-4.148052063508672
1.02,0.3165643122010076,3.032844607698463,5
1.03,0.2892442475015903,-2.7320064699417337,-5
1.04,0.3159419745045485,2.6697727002958187,5
1.05,0.28587932505726904,-3.006264944727941,-4.984112117712321
1.06,0.3103998088741592,2.4520483816890124,5
1.07,0.2915756621917029,-1.882414668245631,-3.6888534691597616
1.08,0.3250584665347793,3.348280434307644,5
1.09,0.30021941767656657,-2.483904885821275,-5
1.1,0.3288470815016135,2.862766382504696,5
1.11,0.300104977154143,-2.8742104347470505,-5
1.12,0.3256107687903959,2.5505791636252875,5
1.1300000000000001,0.2991375701183147,-2.64731986720812,-4.524977813713152
1.1400000000000001,0.3264633233300582,2.7325753211743473,5
1.1500000000000001,0.2966916092828027,-2.977171404725551,-5
1.16,0.3213907799985843,2.469917071578158,5
1.17,0.3003488024912553,-2.104197750732899,-3.9194360179961336
1.18,0.33201347647293583,3.166467398168053,5
1.19,0.3056851482759156,-2.632832819702025,-5
1.2,0.3330940599769198,2.740891170100422,5
1.21,0.3033557190378386,-2.9738340939081223,-5
1.22,0.3280482676913844,2.469254865354582,5
1.23,0.3061010236251954,-2.194724406618895,-4.006104165056868
1.24,0.3370127232541183,3.0911699628922857,5
1.25,0.310057019340986,-2.695570391313229,-5
1.26,0.3369421711137752,2.6885151772789246,5
1.27,0.30676558167643775,-3.017658943733748,-5
1.28,0.3310904822181856,2.4324900541747843,5
1.29,0.31083151578964496,-2.025896642854063,-3.8063434450847975
1.3,0.34307018506786424,3.223866927821927,5
1.31,0.3171457695651003,-2.5924415502763907,-5
1.32,0.3448205083150637,2.7674738749963375,5
1.33,0.3152361967734591,-2.9584311541604613,-5
1.34,0.3399925665563081,2.475636978284901,5
1.35,0.31623519684994783,-2.3757369706360283,-4.186250269985795
1.36,0.3456481251006099,2.9412928250662027,5
1.37,0.31745022707563647,-2.8197898024973425,-5
1.3800000000000001,0.34330465752027955,2.5854430444643084,5
1.3900000000000001,0.31460260708382637,-2.870205043645318,-4.766907150456625
1.4000000000000001,0.3400679536992447,2.546534661541833,5
1.41,0.31433257945016807,-2.573537424907663,-4.440731177291507
1.42,0.34217261715365593,2.7840037703487868,5
1.43,0.31273378423067794,-2.943883292297799,-5
1.44,0.33761904897114214,2.488526474046422,5
1.45,0.31576007650913845,-2.1858972462003674,-4.007908900951934
1.46,0.3466940981569898,3.093402164785137,5
1.47,0.31970784498448596,-2.698625317250386,-5
1.48,0.34652030322156047,2.6812458237074486,5
1.49,0.31623766829511224,-3.02826349264482,-5
1.5,0.3404303720124781,2.4192703717365873,5
1.51,0.3216373519567002,-1.8793020055777907,-3.6445031169608217
1.52,0.35499474915229434,3.3357397195594176,5
1.53,0.3299056931630082,-2.508905598928613,-5
1.54,0.3581849199057643,2.827922674275606,5
1.55,0.3290173767004403,-2.916754320532397,-5
