time,theta,theta_dot,tau
0.0,0.01,1.0,10
0.01,0.029293999999999994,1.9293999999999993,9.798999999999996
0.02,0.0522289036,2.2934903600000003,4.620250600000011
0.03,0.07614747636984,2.391857276984,2.1565288016400004
0.04,0.0998215690489909,2.36740926791509,0.9895222859878174
0.05,0.12270360370371271,2.288203465472181,0.4415573940529498
0.06,0.14456903983010203,2.1865436126389315,0.1888550062554497
0.07,0.16534565391290382,2.0776614082801794,0.07673428264699567
0.08,0.18503207678117453,1.9686422868270717,0.031312316565463405
0.09,0.20365897449774586,1.862689771657133,0.017312030104735143
0.1,0.22127059961824727,1.76116251205014,0.017901777007509168
0.11,0.2379160704443801,1.6645470826132813,0.02506226146560664
0.12,0.25364529337080555,1.572922292642543,0.03498367682144732
0.13,0.2685070989137696,1.4861805542964088,0.045866409545332054
0.14,0.2825484308552243,1.4041331941454709,0.05687022509571005
0.15,0.2958140342086999,1.3265603353475601,0.06761222452123938
0.16,0.30834637739188303,1.2532343183183117,0.07792701448564454
0.17,0.32018568239360823,1.183930500172521,0.08775216639719208
0.18,0.3313700028428854,1.1184320449277192,0.09707353883504588
0.19,0.3419353214695738,1.0565318626688331,0.10589920129644259
0.2,0.35191565352583615,0.9980332056262381,0.11424702164325318
0.21,0.3613431499323383,0.9427496406502138,0.12213877981579468
0.22,0.37024819734105674,0.890504740871847,0.1295973975076068
0.23,0.3786595139350726,0.8411316594015814,0.1366456544037966
0.24,0.3866042405549612,0.7944726619888606,0.14330561254111807
0.25,0.39410802710053044,0.7503786545569279,0.14959837695258393
0.26,0.40119511432030613,0.7087087219775667,0.15554401503511794
0.27,0.4078884111718395,0.6693296851533337,0.16116154990660636
0.28,0.41420956796257485,0.6321156790735337,0.1664689873645866
0.29,0.4201790454870374,0.5969477524462551,0.17148335724526786
0.3,0.4258161803726324,0.5637134885595008,0.17622076009910348
0.31,0.4311392468386891,0.5323066466056681,0.18069641492773947
0.32,0.43616551506405493,0.5026268225365846,0.1849247060313446
0.33,0.4409113063487298,0.4745791284674912,0.188919228109385
0.34,0.44539204524527637,0.4480738896546539,0.1926928292797374
0.35000000000000003,0.44962230882629595,0.42302635810195627,0.19625765192298905
0.36,0.4536158732452246,0.3993564418928691,0.19962517137325442
0.37,0.4573857577391106,0.3769884493885968,0.20280623252632402
0.38,0.4609442662138899,0.35585084747792906,0.20581108445717589
0.39,0.464303026544969,0.33587603310791403,0.20864941314575902
0.4,0.4674730277186307,0.31700011736616684,0.21133037240896968
0.41000000000000003,0.470464654932886,0.29916272142552514,0.21386261313598154
0.42,0.47328772276988024,0.2823067836994279,0.2162543109182331
0.43,0.47595150654580176,0.2663783775921549,0.21851319216192389
0.44,0.4784647719384204,0.2513265392618638,0.22064655876606776
0.45,0.480835802986884,0.23710310484636013,0.22266131144510526
0.46,0.48307242855320104,0.22366255663170168,0.22456397177003762
0.47000000000000003,0.4851820473299241,0.2109618776723046,0.22636070299848066
0.48,0.48717165147390684,0.19896041439827217,0.22805732976078996
0.49,0.48904784894161757,0.1876197467710702,0.2296593566640699
0.5,0.4908168845973465,0.17690356557289552,0.23117198587459686
0.51,0.4924846601617242,0.16677755643777187,0.23260013373388455
0.52,0.49405675306426416,0.15720929025399777,0.2339484464620072
0.53,0.49553843426014327,0.14816811958790974,0.23522131499825072
0.54,0.4969346850681246,0.13962508079813607,0.23642288902628994
0.55,0.4982502130834018,0.13155280152771512,0.2375570902289209
0.56,0.4994894672161877,0.12392541327859369,0.23862762481434419
0.5700000000000001,0.500656651904081,0.11671846878933252,0.23963799535477903
0.58,0.5017557405436015,0.10990886395204767,0.2405915119738583
0.59,0.5027904881837945,0.10347476401929757,0.24149130292032361
0.6,0.5037644435224458,0.0973955338651338,0.24234032455990828
0.61,0.5046809602432223,0.09165167207765014,0.24314137081895315
0.62,0.5055432077299471,0.08622474867247863,0.24389708210872107
0.63,0.5063541811922305,0.08109734622834146,0.24460995375984118
0.64,0.5071167112347965,0.07625300425659357,0.24528234399280702
0.65,0.5078334729010678,0.07167616662713067,0.24591648145106604
0.66,0.5085069942198952,0.06735213188273587,0.24651447232015122
0.67,0.5091396642827266,0.06326700628313651,0.24707830705532197
0.68,0.5097337408770152,0.05940765942885182,0.24760986674008456
0.6900000000000001,0.5102913577002459,0.05576168232307344,0.24811092909514976
0.7000000000000001,0.5108145311776221,0.052317347737618626,0.2485831741571115
0.71,0.511305166905186,0.04906357275639109,0.249028189645345
0.72,0.5117650657389532,0.04598988337671649,0.2494474760340425
0.73,0.512195929549508,0.0430863810554829,0.24984245134549898
0.74,0.5125993666604404,0.040343711093243154,0.2502144556800979
0.75,0.5129768969879932,0.037753032755287866,0.25056475549728885
0.76,0.5133299568983362,0.03530599103429166,0.2508945476616785
0.77,0.5136599037979792,0.0329946899643097,0.25120496326649433
0.78,0.5139680204719885,0.030811667400930977,0.2514970712473572
0.79,0.5142555191838581,0.028749871186959604,0.25177188179674603
0.8,0.5145235455501345,0.026802636627630983,0.25203034959212267
0.81,0.5147731822021674,0.024963665203289503,0.2522733768454679
0.8200000000000001,0.5150054522466835,0.023227004451612715,0.25250181618596057
0.8300000000000001,0.5152213225362346,0.021587028955120525,0.2527164733842262
0.84,0.5154217067599667,0.02003842237320574,0.25291810992652974
0.85,0.5156074683645803,0.018576160461361187,0.2531074454481407
0.86,0.5157794233148134,0.01719549502331376,0.25328516003249646
0.87,0.5159383427022617,0.01589193874483167,0.2534518963842427
0.88,0.5160849552108695,0.01466125086077728,0.2536082618830028
0.89,0.5162199494469654,0.013499423609586197,0.25375483052391257
0.9,0.5163439761412852,0.012402669431990065,0.2538921447523145
0.91,0.5164576502300151,0.011367408872984546,0.2540207171965825
0.92,0.5165615528215002,0.010390259148503759,0.25414103230669194
0.93,0.5166562330549026,0.009468023340242169,0.2542535479023861
0.9400000000000001,0.5167422098567436,0.00859768018409975,0.2543586966361482
0.9500000000000001,0.5168199736009401,0.007776374419654653,0.2544568873759707
0.96,0.5168899876776386,0.007001407669844146,0.2545485065121923
0.97,0.5169526899758559,0.006270229821720297,0.2546339191925029
0.98,0.5170084942846633,0.005580430880743137,0.2547134704890165
0.99,0.5170577916173893,0.004929733272594512,0.25478748650121696
1.0,0.5171009514630687,0.004315984567940779,0.25485627539845457
1.01,0.5171383229691376,0.0037371506068963004,0.25492012840505995
1.02,0.5171702360591499,0.003191309001222398,0.25497932073127794
1.03,0.5171970024890853,0.0026766429935384086,0.2550341124533463
1.04,0.5172189168456242,0.002191435653889551,0.2550847493448233
1.05,0.5172362574895757,0.0017340643951488932,0.2551314636623503
1.06,0.5172492874474733,0.00130299578976385,0.25517447488851186
