time,theta,theta_dot,tau
0.0,0.01,1.0,5
0.01,0.029580000000000002,1.958,5
0.02,0.05725492400000001,2.767492400000001,4.468642000000006
0.03,0.08297875476720004,2.5723830767200027,-0.3647932123999915
0.04,0.10726915600519214,2.4290401237992096,-0.11925939449276335
0.05,0.13018943571639607,2.2920279711203935,-0.09198358262904627
0.06,0.15181742505943363,2.1627989343037544,-0.0575501541427208
0.07,0.17222580719291758,2.0408382133483958,-0.02542639285660897
0.08,0.1914832087610691,1.9257401568151535,0.004903167196385283
0.09,0.20965439401285632,1.8171185251787212,0.033523081941938315
0.1,0.2268004835528847,1.7146089540028382,0.06053024316918609
0.11,0.24297915927319114,1.6178675720306421,0.08601536449247149
0.12,0.2582448578197728,1.5265698546581685,0.11006408681695135
0.13,0.27264895317185145,1.4404095352078659,0.13275723149989282
0.14,0.286239928949247,1.3590975777395522,0.15417107287185594
0.15,0.2990635410256414,1.2823612076394444,0.1743775939966179
0.16,0.31116297099313434,1.2099429967492936,0.1934447281027767
0.17,0.32257897099280014,1.141599999966582,0.21143658642943475
0.18,0.3333500003970012,1.0771029404201058,0.22841367325373518
0.19,0.34351235480188097,1.0162354404879776,0.24443308882038117
0.2,0.35310028776267066,0.9587932960789689,0.2595487208544327
0.21,0.36214612568010246,0.90458379174318,0.2738114252995203
0.22,0.3706803762232518,0.8534250543149328,0.2872691968875021
0.23,0.37873183065245253,0.8051454429200721,0.29996733011193477
0.24,0.38632766038547023,0.7595829733017702,0.3119485711449572
0.25,0.3934935081308111,0.7165847745340854,0.32325326120740083
0.26,0.4002535738938217,0.676006576301064,0.3339194718725209
0.27,0.4066306961440401,0.6377122250218421,0.34398313275792525
0.28,0.4126464284160279,0.6015732271987763,0.3534781520330794
0.29,0.4183211116005984,0.5674683184570537,0.36243653014717037
0.3,0.42367394216890214,0.535283056830373,0.3708884671586059
0.31,0.42872303655818794,0.5049094389285813,0.37886246402601786
0.32,0.4334854919351871,0.4762455376999165,0.38638541820058014
0.33,0.4379774435409167,0.4491951605729647,0.39348271384041134
0.34,0.4422141188092337,0.42366752683170156,0.400178306949194
0.35000000000000003,0.44620988844064974,0.3995769631416013,0.4064948057250728
0.36,0.4499783146027059,0.3768426162056117,0.4124535463890222
0.37,0.45353219641856835,0.3553881815862471,0.41807466474700505
0.38,0.4568836128964114,0.33514164778430516,0.4233771637261081
0.39,0.4600439634435697,0.3160350547158289,0.428378977110891
0.4,0.4630240061013428,0.29800426577731304,0.4330970296941563
0.41000000000000003,0.46583389362868916,0.2809887527346343,0.43754729404341175
0.42,0.46848320755583134,0.26493139271422017,0.4417448440735454
0.43,0.47098099032198776,0.24977827661564053,0.4457039056057772
0.44,0.47333577560501744,0.2354785283029708,0.4494379040817673
0.45,0.4755556169447034,0.22198413396859737,0.4529595095937444
0.46,0.47764811475567365,0.20924978109702547,0.4562806793805634
