time,theta,theta_dot,tau
0.0,0.1,10.0,10
0.01,0.04900000000000001,-5.1,-10
0.02,0.12301000000000004,7.401000000000002,10
0.03,0.05878490000000004,-6.422509999999999,-10
0.04,0.12608450100000004,6.7299601,10
0.05,0.05847345649000005,-6.761104451,-10
0.06,0.12408319967010005,6.56097431801,10
0.07,0.05564723926344904,-6.843596040665101,-10
0.08,0.12087278666748905,6.522554740404001,10
0.09,0.05227683250283416,-6.859595416465488,-10
0.1,0.11745608709547838,6.517925459264422,10
0.11,0.0488711535208457,-6.858493357463267,-10
0.12,0.11408997519832093,6.521882167747522,10
0.13,0.04555848628507535,-6.853148891324558,-10
0.14,0.1108371569656018,6.527867068052645,10
0.15,0.04236812073620902,-6.846903622939278,-10
0.16,0.10770992141415056,6.5341800677941535,10
0.17,0.039303722538979805,-6.840619887517075,-10
0.18,0.10470758587600464,6.540386333702482,10
0.19,0.036362441685757,-6.834514419024764,-10
0.2,0.10182624517377563,6.546380348801863,10
0.21,0.03353988446604719,-6.828636070772843,-10
0.22,0.09906130526752252,6.552142080147533,10
0.23,0.03083140261558498,-6.822990265193754,-10
0.24,0.09640813726346036,6.557673464787538,10
0.25,0.02823242321476345,-6.817571404869691,-10
0.26,0.09386224195826735,6.56298187435039,10
0.27,0.025738528910436598,-6.812371304783076,-10
0.28,0.09141928709741688,6.568075818698029,10
0.29,0.023345473319932877,-6.807381377748401,-10
0.3,0.08907511169799152,6.572963837805865,10
0.31,0.02104917977004095,-6.802593192795058,-10
0.32,0.08682572200836523,6.577654223832429,10
0.33,0.01884573590744372,-6.797998610092151,-10
0.34,0.08466728549790853,6.5821549590464805,10
0.35000000000000003,0.01673138743816184,-6.793589805974669,-10
0.36,0.08259612453390688,6.586473709574504,10
0.37,0.014702531836440325,-6.789359269746656,-10
0.38,0.08060871016934264,6.590617833290231,10
0.39,0.01275571223410038,-6.785299793524226,-10
0.4,0.07870165614413825,6.5945943910037865,10
0.41000000000000003,0.010887611537715808,-6.781404460642245,-10
0.42,0.07687171311912744,6.598410158141164,10
0.43,0.00909504677864198,-6.777666634048545,-10
0.44,0.07511576314061283,6.602071636197085,10
0.45,0.00737496369019211,-6.774079945042072,-10
0.46,0.07343081432807982,6.605585063788771,10
0.47000000000000003,0.005724431503742869,-6.770638282433696,-10
0.48,0.07181399577653695,6.6089564272794075,10
0.49,0.0041406379551685996,-6.7673357821368345,-10
0.5,0.07026255266493273,6.612191470976413,10
0.51,0.0026208844931654707,-6.764166817176726,-10
0.52,0.0687738415623502,6.615295706918472,10
0.53,0.0011625816813190248,-6.761125988103117,-10
0.54,0.06734532592399024,6.618274424267122,10
0.55,-0.00023675521391401666,-6.758208113790426,-10
0.56,0.06597457176927299,6.6211326983187,10
0.5700000000000001,-0.001579510456826222,-6.755408222609921,-10
0.58,0.06465924353469245,6.623875399151867,10
0.59,-0.0028679719048951557,-6.75272154395876,-10
0.6,0.06339710009435998,6.626507199925513,10
0.61,-0.004104334906956053,-6.750143500131603,-10
0.62,0.06218599094145548,6.629032584841154,10
0.63,-0.0052907060437533265,-6.74766969852088,-10
0.64,0.061023852524079825,6.631455856783315,10
0.65,-0.006429106717244407,-6.745295924132423,-10
0.66,0.059908704729265905,6.6337811446510315,10
0.67,-0.007521476594771592,-6.7430181324037495,-10
0.68,0.05883864750915736,6.636012410392896,10
0.6900000000000001,-0.008569676913969718,-6.740832442312708,-10
0.7000000000000001,0.05781185764360644,6.638153455757616,10
0.71,-0.009575493654041561,-6.7387351297648,-10
0.72,0.05682658563367485,6.640207928771641,10
0.73,-0.01054064057880369,-6.7367226212478535,-10
0.74,0.05588115272074508,6.642179329954876,10
0.75,-0.011466762156688001,-6.734791487743308,-10
0.76,0.054973948026162345,6.644071018285034,10
0.77,-0.01235543636267411,-6.732938438883645,-10
0.78,0.05410342580653439,6.64588621692085,10
0.79,-0.013208177366926727,-6.731160317346111,-10
0.8,0.05326810282001199,6.6476280186938705,10
0.81,-0.014026438114718778,-6.729454093473077,-10
0.8200000000000001,0.05246655579906302,6.649299391378181,10
0.8300000000000001,-0.014811612802036675,-6.72781686010997,-10
0.84,0.05169741902543386,6.650903182747053,10
0.85,-0.015565039251085211,-6.726245827651907,-10
0.86,0.05095938200316609,6.6524421254251305,10
0.87,-0.01628800118973993,-6.724738319290601,-10
0.88,0.05025118722570446,6.653918841544439,10
0.89,-0.016981730438830403,-6.723291766453485,-10
0.9,0.049571628033290474,6.655335847212088,10
0.91,-0.017647409010981968,-6.721903704427245,-10
0.92,0.04891954655699163,6.656695556797359,10
0.93,-0.018286171124591494,-6.720571768158312,-10
0.9400000000000001,0.04829383174586287,6.658000287045436,10
0.9500000000000001,-0.018899105136368582,-6.719293688223145,-10
0.96,0.04769341747387938,6.659252261024797,10
0.97,-0.01948725539573544,-6.718067286961482,-10
0.98,0.04711728072341449,6.660453611914994,10
0.99,-0.020051624024244694,-6.716890474765918,-10
1.0,0.04656443984216814,6.661606386641283,10
1.01,-0.020593172623047093,-6.715761246521524,-10
1.02,0.04603395287057575,6.6627125493622845,10
1.03,-0.021112823911318565,-6.714677678189432,-10
1.04,0.045524915936847446,6.663773984816601,10
1.05,-0.021611463298438036,-6.713637923528548,-10
1.06,0.045036461716903606,6.664792501534164,10
1.07,-0.022089940392594626,-6.712640210949823,-10
1.08,0.0445677579565822,6.665769834917683,10
1.09,-0.0225490704483952,-6.71168284049774,-10
1.1,0.044118006053600056,6.666707650199525,10
1.11,-0.022989635755938306,-6.710764180953836,-10
1.12,0.0436864396968519,6.66760754527902,10
1.1300000000000001,-0.023412386973721513,-6.709882667057341,-10
1.1400000000000001,0.04327232356072898,6.6684710534450495,10
1.1500000000000001,-0.02381804440765306,-6.709036796838204,-10
1.16,0.04287495205223246,6.669299645988552,10
1.17,-0.02420729923834712,-6.708225129057958,-10
1.18,0.042493648108746576,6.6700947347093695,10
1.19,-0.024580814698794057,-6.707446280754063,-10
1.2,0.042127762044423575,6.670857674321763,10
1.21,-0.024939227204411843,-6.706698924883542,-10
1.22,0.041776670443214564,6.67158976476264,10
1.23,-0.025283147437404382,-6.705981788061894,-10
1.24,0.04143977509666019,6.672292253406457,10
1.25,-0.02561316138727414,-6.7052936483934324,-10
1.26,0.041116501984631446,6.672966337190559,10
1.27,-0.025929831349262078,-6.704633333389353,-10
1.28,0.040806300297283785,6.673613164654586,10
1.29,-0.0262336968824161,-6.703999717969989,-10
1.3,0.040508641496558126,6.674233837897422,10
1.31,-0.02652527572892034,-6.703391722547847,-10
1.32,0.04022301841562963,6.674829414454997,10
1.33,-0.026805064696251685,-6.7028083111881305,-10
1.34,0.039948944394770175,6.675400909102185,10
1.35,-0.0270735405036666,-6.702248489843678,-10
1.36,0.039685952452151674,6.675949295581827,10
1.37,-0.02733116059446071,-6.701711304661238,-10
1.3800000000000001,0.03943359448817771,6.676475508263842,10
1.3900000000000001,-0.027578363915384874,-6.701195840356258,-10
1.4000000000000001,0.03919144052198768,6.676980443737255,10
1.41,-0.02781557166454593,-6.700701218653361,-10
1.42,0.038959077958832716,6.677464962337865,10
1.43,-0.0280431880090663,-6.700226596789902,-10
1.44,0.03873611088707486,6.677929889614116,10
1.45,-0.028261600773725318,-6.699771166080017,-10
1.46,0.038522159403611866,6.678376017733719,10
1.47,-0.02847118210175567,-6.699334150536753,-10
1.48,0.03831685896657813,6.678804106833381,10
1.49,-0.02867228908892075,-6.698914805549888,-10
1.5,0.038119859774219014,6.679214886313977,10
1.51,-0.028865264391953305,-6.698512416617232,-10
1.52,0.03793082616888008,6.679609056083338,10
1.53,-0.029050436812392014,-6.6981262981272085,-10
1.54,0.03774943606509584,6.679987287748785,10
1.55,-0.029228121856811215,-6.697755792190705,-10
1.56,0.03757538040080337,6.680350225761458,10
1.57,-0.029398622274397393,-6.6974002675200754,-10
1.58,0.037408362610746204,6.680698488514359,10
1.59,-0.02956222857278948,-6.697059118353568,-10
1.6,0.03724809812117055,6.681032669396004,10
1.61,-0.029719219513061126,-6.696731763423168,-10
1.62,0.03709431386495364,6.681353337801477,10
1.6300000000000001,-0.029869862584688517,-6.696417644964216,-10
1.6400000000000001,0.03694674781633728,6.681661040102579,10
1.6500000000000001,-0.030014414461313213,-6.6961162277650494,-10
1.6600000000000001,0.03680514854447467,6.681956300578788,10
1.67,-0.03015312143807615,-6.695826998255082,-10
1.68,0.036669274785029196,6.682239622310535,10
1.69,-0.030286219851268406,-6.69554946362976,-10
1.7,0.03653889502909548,6.682511488036388,10
1.71,-0.03041393648101355,-6.695283151010903,-10
1.72,0.036413787128742076,6.682772360975562,10
1.73,-0.03053648893766754,-6.695027606640961,-10
1.74,0.03629373791850435,6.683022685617189,10
1.75,-0.030654086032594743,-6.694782395109909,-10
1.76,0.03617854285218168,6.683262888477643,10
1.77,-0.030766928133951918,-6.694547098613359,-10
1.78,0.036068005654320806,6.683493378827272,10
1.79,-0.030875207508086047,-6.694321316240686,-10
1.8,0.03596193798579138,6.683714549387743,10
1.81,-0.03097910864712783,-6.69410466329192,-10
1.82,0.035860159122883845,6.683926777001167,10
1.83,-0.031078808583339168,-6.693896770622301,-10
1.84,0.03576249564938273,6.68413042327219,10
1.85,-0.031174477190750144,-6.693697284013288,-10
1.86,0.03566878116109094,6.684325835184108,10
1.87,-0.03126627747459941,-6.693505863569035,-10
1.8800000000000001,0.03557885598230143,6.684513345690084,10
1.8900000000000001,-0.031354365849071184,-6.69332218313726,-10
1.9000000000000001,0.03549256689373323,6.684693274280441,10
1.9100000000000001,-0.031438892403801905,-6.693145929753513,-10
1.92,0.03540976687146856,6.684865927527046,10
1.93,-0.0315200011596109,-6.692976803107946,-10
1.94,0.0353303148364455,6.68503159960564,10
1.95,-0.031597830313890754,-6.692814515033625,-10
1.96,0.03525407541408003,6.685190572797078,10
1.97,-0.03167251247607537,-6.692658789015541,-10
1.98,0.03518091870360768,6.685343117968305,10
1.99,-0.031499069827623585,-6.667998853123127,-9.975489493403671
2.0,0.03547592660503701,6.69749964326606,10
2.0100000000000002,-0.03084653487081382,-6.632246147585082,-9.945520042613076
2.02,0.036300699739968925,6.714723461078274,10
2.0300000000000002,-0.03005796737412919,-6.635866711409811,-9.956927742208979
2.04,0.037063278742563044,6.712124611669223,10
2.05,-0.02842184495030088,-6.548512369286392,-9.86751139637844
2.06,0.03911981165277016,6.754165660307104,10
2.07,-0.027500558162222008,-6.662036981499217,-10
2.08,0.03946426251190413,6.696482067412614,10
2.09,-0.024083913328959844,-6.354817584086398,-9.6635943552808
2.1,0.04438283788389777,6.846675121285761,10
2.11,-0.02182761488851241,-6.621045277241018,-10
2.12,0.04528543487416761,6.711304976268002,10
2.13,-0.018778092042030903,-6.406352691619851,-9.716719744879683
2.14,0.04937792542029014,6.815601746232105,10
