theta,theta_dot,tau,J,b,k
0.7403966444050668,1.4749713586583497,1.847574054607081,0.5116733247144466,0.3052619974894381,1.1493434075750555
0.7552383026723938,1.4841658267326943,1.7718283407974662,0.5117726351916622,0.3053069198511488,1.1493321441796984
0.7701893858001377,1.4951083127743976,1.8813189956024852,0.5118719338962435,0.3053518408861295,1.149320785211774
0.7852527465363868,1.506336073624899,1.916616125800241,0.5119712207288919,0.30539676058315,1.1493093306785522
0.8004115161674202,1.5158769631033413,1.851147858516534,0.5120704955903207,0.30544167893098045,1.149297780587364
0.8156602294084396,1.5248713241019374,1.8436459210160263,0.5121697583812548,0.3054865959183911,1.1492861349456012
0.8310139260557646,1.535369664732505,1.9411111113151498,0.5122690090024316,0.3055315115341528,1.1492743937607173
0.8464617431873215,1.5447817131556874,1.906469439435234,0.5123682473546003,0.3055764257670367,1.1492625570402262
0.8619869869237241,1.5525243736402667,1.8417011077937677,0.5124674733385227,0.30562133860581425,1.1492506247917038
0.8775872567750599,1.5600269851335762,1.8497418904778473,0.512566686854973,0.305666250039257,1.1492385970227867
0.8932684009187282,1.5681144143668264,1.9000790766400775,0.5126658878047373,0.30571116005613747,1.1492264737411726
0.9090304871319421,1.5762086213213913,1.9210599428524855,0.5127650760886149,0.3057560686452278,1.1492142549546203
0.9248669648471017,1.5836477715159611,1.9081931541114547,0.5128642516074174,0.30580097579530113,1.14920194067095
0.9407832884710783,1.5916323623976547,1.9567798821486886,0.5129634142619695,0.3058458814951304,1.1491895308980427
0.9567588779437974,1.5975589472719123,1.8720630982605269,0.5130625639531083,0.30589078573348943,1.1491770256438407
0.9728084956610169,1.6049617717219422,1.9681081605960078,0.5131617005816843,0.305935688499152,1.1491644249163475
0.9889377447972373,1.6129249136220403,2.0177085913591535,0.5132608240485609,0.30598058978089254,1.1491517287236275
1.005122865668639,1.6185120871401677,1.9168461082087458,0.5133599342546145,0.3060254895674856,1.149138937073806
1.0213675579835397,1.6244692314900613,1.95626644721497,0.5134590311007349,0.30607038784770635,1.14912604997507
1.037671953865651,1.6304395882111118,1.9775541827202914,0.5135581144878253,0.3061152846103301,1.149113067435667
1.054042805578334,1.6370851712683145,2.0329196569363446,0.5136571843168024,0.30616017984413274,1.149099989463906
1.070454282383228,1.6411476804894012,1.9211844231551278,0.5137562404885962,0.3062050735378905,1.1490868160681569
1.0869170517964069,1.6462769413179001,1.996201897672451,0.5138552829041508,0.30624996568037993,1.1490735472568505
1.1034239717598688,1.6506919963461912,1.9800929223048582,0.5139543114644236,0.30629485626037795,1.149060183038479
1.119974377366847,1.6550405606978025,1.9970976618276144,0.5140533260703861,0.3063397452666619,1.1490467234215955
1.1365700433131827,1.6595665946335771,2.0266737894877243,0.5141523266230238,0.30638463268800964,1.149033168414814
1.1532084782557053,1.6638434942522593,2.0344214803632066,0.5142513130233359,0.30642951851319916,1.14901951802681
1.1698905793664436,1.6682101110738314,2.0595657000224925,0.5143502851723363,0.3064744027310091,1.1490057722663192
1.1866001306672638,1.670955130082024,1.9967507021088204,0.5144492429710527,0.3065192853302184,1.1489919311421395
1.203337420934888,1.6737290267624072,2.0183627555719004,0.5145481863205272,0.3065641662996064,1.1489779946631287
1.2200921091883488,1.6754688253460908,1.985310023522856,0.5146471151218167,0.3066090456279529,1.1489639628382067
1.2368522506747723,1.6760141486423654,1.94368401717086,0.5147460292759923,0.30665392330403796,1.1489498356763532
